#curie_map:
#  NCIT: "http://purl.obolibrary.org/obo/NCIT_"
#  CL: "http://purl.obolibrary.org/obo/CL_"
#  owl: "http://www.w3.org/2002/07/owl#"
subject_id	subject_label	predicate_id	predicate_label	object_id	object_label
NCIT:C13077	Acinar Cell	owl:equivalentClass	equivalent to	CL:0000622	acinar cell
NCIT:C12556	Adipocyte	owl:equivalentClass	equivalent to	CL:0000136	fat cell
NCIT:C12556	Adipocyte	owl:equivalentClass	equivalent to	CL:0000632	hepatic stellate cell
NCIT:C32054	Alveolar Cell Type I	owl:equivalentClass	equivalent to	CL:0002062	type I pneumocyte
NCIT:C32055	Alveolar Cell Type II	owl:equivalentClass	equivalent to	CL:0002063	type II pneumocyte
NCIT:C12565	Alveolar Macrophage	owl:equivalentClass	equivalent to	CL:0000583	alveolar macrophage
NCIT:C12626	Amacrine Cell	owl:equivalentClass	equivalent to	CL:0000561	amacrine cell
NCIT:C12579	Ameloblast	owl:equivalentClass	equivalent to	CL:0000059	ameloblast
NCIT:C33934	Angioblast	owl:equivalentClass	equivalent to	CL:0000566	angioblastic mesenchymal cell
NCIT:C12645	Anterior Horn Cell	owl:equivalentClass	equivalent to	CL:0000100	motor neuron
NCIT:C12621	Antigen Presenting Cell	owl:equivalentClass	equivalent to	CL:0000145	professional antigen presenting cell
NCIT:C43374	Apocrine Cell	owl:equivalentClass	equivalent to	CL:0000033	apocrine cell
NCIT:C12655	APUD Cell	owl:equivalentClass	equivalent to	CL:0000568	amine precursor uptake and decarboxylation cell
NCIT:C32140	Argentaffin Cell	owl:equivalentClass	equivalent to	CL:0000577	type EC enteroendocrine cell
NCIT:C12477	Astrocyte	owl:equivalentClass	equivalent to	CL:0000127	astrocyte
NCIT:C12474	B-Lymphocyte	owl:equivalentClass	equivalent to	CL:0000236	B cell
NCIT:C13117	Band Cell	owl:equivalentClass	equivalent to	CL:0000560	band form neutrophil
NCIT:C12475	Basal Cell	owl:equivalentClass	equivalent to	CL:0000646	basal cell
NCIT:C12531	Basophil	owl:equivalentClass	equivalent to	CL:0000767	basophil
NCIT:C13130	Basophilic Erythroblast	owl:equivalentClass	equivalent to	CL:0000549	basophilic erythroblast
NCIT:C32199	Beta Cell	owl:equivalentClass	equivalent to	CL:0000168	insulin secreting cell
NCIT:C13154	Bipolar Neuron	owl:equivalentClass	equivalent to	CL:0000103	bipolar neuron
NCIT:C32210	Bladder Urothelial Cell	owl:equivalentClass	equivalent to	CL:1001428	bladder urothelial cell
NCIT:C12918	Blast Cell	owl:equivalentClass	equivalent to	CL:0000055	non-terminally differentiated cell
NCIT:C61288	Blastemal Cell	owl:equivalentClass	equivalent to	CL:0000354	blastemal cell
NCIT:C12518	Blastomere	owl:equivalentClass	equivalent to	CL:0000353	blastoderm cell
NCIT:C48762	Bone Cell	owl:equivalentClass	equivalent to	CL:0001035	bone cell
NCIT:C12552	Bone Marrow Myeloid Stem Cell	owl:equivalentClass	equivalent to	CL:0000049	common myeloid progenitor
NCIT:C54242	Bronchial Epithelial Cell	owl:equivalentClass	equivalent to	CL:0002328	bronchial epithelial cell
NCIT:C32236	Brush Cell	owl:equivalentClass	equivalent to	CL:0002204	brush cell
NCIT:C33261	C-Cell	owl:equivalentClass	equivalent to	CL:0000570	parafollicular cell
NCIT:C13002	Cardiomyocyte	owl:equivalentClass	equivalent to	CL:0000746	cardiac muscle cell
NCIT:C12508	Cell	owl:equivalentClass	equivalent to	CL:0000000	cell
NCIT:C32271	Cell of the Epidermis	owl:equivalentClass	equivalent to	CL:0000362	epidermal cell
NCIT:C32274	Cementoblast	owl:equivalentClass	equivalent to	CL:0000061	cementoblast
NCIT:C32275	Cementocyte	owl:equivalentClass	equivalent to	CL:0000141	cementocyte
NCIT:C32932	Centroblast	owl:equivalentClass	equivalent to	CL:0000965	Bm3 B cell
NCIT:C32305	Chief Cell of the Stomach	owl:equivalentClass	equivalent to	CL:0000155	peptic cell
